Session,Group,GameMode,Start,End
1,A,Achievements,2025-04-17 09:05:22.951686+02:00,2025-04-17 09:25:22.951686+02:00
1,B,Leaderboard,2025-04-17 09:04:05.435083+02:00,2025-04-17 09:24:05.435083+02:00
2,A,Leaderboard,2025-04-17 09:43:54+02:00,2025-04-17 10:03:54+02:00
2,B,Achievements,2025-04-17 09:41:54+02:00,2025-04-17 10:01:54+02:00
