user,group,session,timestamp,sourceFile,survived,killed,mutants_count,game_mode
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,City.java,22,0,22,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,Coords.java,7,8,15,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,House.java,2,0,2,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,Parking.java,16,0,16,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,Person.java,2,0,2,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,PolyLine.java,20,0,20,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,Road.java,3,0,3,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,Vehicle.java,15,0,15,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,Building.java,8,0,8,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,Car.java,13,0,13,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,City.java,22,0,22,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,Coords.java,7,8,15,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,House.java,2,0,2,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,Parking.java,16,0,16,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,Person.java,0,2,2,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,PolyLine.java,20,0,20,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,Road.java,3,0,3,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,Vehicle.java,15,0,15,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,2025-04-17 09:24:52.114000+02:00,Building.java,8,0,8,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,2025-04-17 09:24:52.114000+02:00,Car.java,13,0,13,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,2025-04-17 09:24:52.114000+02:00,City.java,22,0,22,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,2025-04-17 09:24:52.114000+02:00,Coords.java,11,4,15,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,2025-04-17 09:24:52.114000+02:00,House.java,2,0,2,leaderboard
