Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:28:01.032
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:28:01.037
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-04-17 09:46:41.418
AddTestsAchievement,Safety First,2,ACHIEVEMENTS,2025-04-17 09:46:41.465
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:46:41.509
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:52:23.649
RefactorAddXAssertionsAchievement,Double check,2,ACHIEVEMENTS,2025-04-17 09:54:24.879
