totalClassCount,coveredClassCount,totalMethodCount,coveredMethodCount,totalLineCount,coveredLineCount,totalBranchCount,coveredBranchCount,testedClass,testName
1,1,11,7,22,10,10,1,be.thibber.gamification.vehicle.Car,CarTest.testCarSetSeatsCount
1,1,11,6,22,9,10,1,be.thibber.gamification.vehicle.Car,CarTest.testCarSetSeatNegative
1,1,11,6,24,11,12,3,be.thibber.gamification.vehicle.Car,CarTest.testCarSetSeatNegative
1,1,11,7,24,13,12,4,be.thibber.gamification.vehicle.Car,CarTest.addPassenger
1,1,11,7,24,13,12,4,be.thibber.gamification.vehicle.Car,CarTest.addPassenger
1,1,11,8,24,14,12,4,be.thibber.gamification.vehicle.Car,CarTest.addPassenger
1,1,11,7,24,12,12,3,be.thibber.gamification.vehicle.Car,CarTest.addPassengerNull
1,1,11,9,24,16,12,5,be.thibber.gamification.vehicle.Car,CarTest.testRemovePassenger
1,1,11,9,24,16,12,5,be.thibber.gamification.vehicle.Car,CarTest.testRemovePassenger
1,1,11,7,24,12,12,3,be.thibber.gamification.vehicle.Car,CarTest.testRemovePassengerNull
1,0,7,0,21,0,14,0,be.thibber.gamification.PolyLine,be.thibber.gamification in gamified-testing
1,0,10,0,32,0,16,0,be.thibber.gamification.City,be.thibber.gamification in gamified-testing
1,1,11,10,24,20,12,8,be.thibber.gamification.vehicle.Car,be.thibber.gamification in gamified-testing
1,0,6,0,8,0,0,0,be.thibber.gamification.Road,be.thibber.gamification in gamified-testing
1,1,8,8,15,15,6,6,be.thibber.gamification.vehicle.Vehicle,be.thibber.gamification in gamified-testing
1,0,9,0,15,0,6,0,be.thibber.gamification.building.Parking,be.thibber.gamification in gamified-testing
1,1,8,4,14,6,0,0,be.thibber.gamification.Coords,be.thibber.gamification in gamified-testing
1,1,2,2,2,2,0,0,be.thibber.gamification.building.House,be.thibber.gamification in gamified-testing
1,0,1,0,1,0,0,0,be.thibber.gamification.exceptions.FullParkingException,be.thibber.gamification in gamified-testing
1,1,7,7,14,14,4,4,be.thibber.gamification.building.Building,be.thibber.gamification in gamified-testing
1,1,3,2,4,3,0,0,be.thibber.gamification.Person,be.thibber.gamification in gamified-testing
