Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:11:24.758
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:11:24.759
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:11:39.195
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 09:12:06.379
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:13:54.526
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:13:54.527
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 09:14:49.77
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 09:15:13.035
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:15:13.035
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:23:00.585
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:23:00.586
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:52:24.486
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:52:24.726
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:52:39.62
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:52:39.999
RefactorAddXAssertionsAchievement,Double check,2,ACHIEVEMENTS,2025-04-17 09:54:23.587
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:54:23.596
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:54:24.42
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:54:24.441
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:54:24.797
RefactorAddXAssertionsAchievement,Double check,8,ACHIEVEMENTS,2025-04-17 09:58:40.169
AddTestsAchievement,Safety First,4,ACHIEVEMENTS,2025-04-17 09:58:40.176
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:58:42.889
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:58:42.911
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:58:43.273
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 10:00:48.232
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 10:00:48.239
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 10:00:48.612
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 10:02:15.649
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 10:02:15.659
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 10:02:16.036
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 10:03:28.038
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 10:03:28.046
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 10:03:28.424
