totalClassCount,coveredClassCount,totalMethodCount,coveredMethodCount,totalLineCount,coveredLineCount,totalBranchCount,coveredBranchCount,testedClass,testName
1,1,7,5,12,9,2,1,be.thibber.gamification.building.Building,BuildingTest.testAddressEmpty
1,1,7,5,12,9,2,1,be.thibber.gamification.building.Building,BuildingTest.testAddress
1,1,7,6,12,10,2,1,be.thibber.gamification.building.Building,BuildingTest.testGroundSurface
1,1,7,5,12,9,2,1,be.thibber.gamification.building.Building,BuildingTest.testGroundSurfaceNegatif
1,1,7,5,12,9,2,1,be.thibber.gamification.building.Building,BuildingTest.testGroundSurfaceNegatif
1,1,7,4,14,10,4,3,be.thibber.gamification.building.Building,BuildingTest.testGroundSurfaceNegatif
1,1,7,5,14,10,4,2,be.thibber.gamification.building.Building,BuildingTest.testFloorsCount
1,1,7,4,14,9,4,2,be.thibber.gamification.building.Building,BuildingTest.testFloorsCountNull
1,1,7,4,14,10,4,3,be.thibber.gamification.building.Building,BuildingTest.testFloorsCountNull
1,1,7,7,14,14,4,4,be.thibber.gamification.building.Building,BuildingTest
1,1,8,4,15,6,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest
1,1,8,4,15,6,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest
1,1,8,4,15,7,6,2,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testAccelerate
1,1,8,3,15,6,6,2,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testAccelerateNegative
1,1,8,3,15,6,6,2,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testAccelerateNegative
1,1,8,4,15,7,6,2,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testBrake
1,1,8,3,15,6,6,2,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testBrakeNegative
1,1,8,3,15,5,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testIsStopped
1,1,8,3,15,5,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testIsNotStopped
1,1,8,4,15,6,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testReset
1,1,8,4,14,6,0,0,be.thibber.gamification.Coords,CoordsTest.testSetX
1,1,7,7,14,14,4,4,be.thibber.gamification.building.Building,BuildingTest
1,1,8,8,15,14,6,5,be.thibber.gamification.vehicle.Vehicle,VehicleTest
1,1,8,4,14,6,0,0,be.thibber.gamification.Coords,CoordsTest
