,1,2,3,4,5,Category,% Left (1-2),% Right (4-5)
Ressenti après avoir utilisé le leaderboard,2.857,17.143,37.143,28.571,14.286,Fatigué·e-Stimulé·e,20.0,42.857
Ressenti après avoir utilisé les achievements,0.0,17.143,34.286,40.0,8.571,Fatigué·e-Stimulé·e,17.143,48.571
