Identifiant,group,Achievements Horodateur,Demographic Horodateur,Leaderboard Horodateur,Satisfaction Horodateur
2,B,17/04/2025 10:07:05,17/04/2025 08:50:26,17/04/2025 09:31:29,Not filled
39,A,Not filled,17/04/2025 08:48:02,Not filled,Not filled
67,A,17/04/2025 09:33:46,17/04/2025 08:49:09,Not filled,Not filled
69,A,17/04/2025 09:33:44,Not filled,17/04/2025 10:09:46,Not filled
77,A,17/04/2025 09:34:04,17/04/2025 08:48:24,Not filled,Not filled
82,B,17/04/2025 10:09:09,Not filled,17/04/2025 09:32:49,Not filled
86,B,17/04/2025 09:50:29,17/04/2025 08:49:11,Not filled,Not filled
Selice,Invalid,Not filled,17/04/2025 08:48:26,Not filled,Not filled
hicarlie,Invalid,Not filled,17/04/2025 08:48:34,17/04/2025 09:30:56,Not filled
