totalClassCount,coveredClassCount,totalMethodCount,coveredMethodCount,totalLineCount,coveredLineCount,totalBranchCount,coveredBranchCount,testedClass,testName
1,1,3,3,4,4,0,0,be.thibber.gamification.Person,PersonTest
1,1,8,4,14,6,0,0,be.thibber.gamification.Coords,CoordsTest
1,1,6,1,8,1,0,0,be.thibber.gamification.Road,RoadTest
1,1,8,6,14,8,0,0,be.thibber.gamification.Coords,CoordsTest.test2
1,1,8,3,15,5,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest.test2
1,1,8,3,15,5,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest
1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest
