session,group,game_mode,start,end
1,A,Achievements,2025-04-17 09:05:22+0200,2025-04-17 09:25:22+0200
1,B,Leaderboard,2025-04-17 09:04:05+0200,2025-04-17 09:24:05+0200
2,A,Leaderboard,2025-04-17 09:45:54+0200,2025-04-17 10:05:54+0200
2,B,Achievements,2025-04-17 09:43:54+0200,2025-04-17 10:03:54+0200
