user,username,points,created_at,last_update,group
b0ce21ef-0c91-4be3-8aed-9bd1062ce0bf,ÉclairChat415,0,2025-04-17 11:36:13.931764+02:00,2025-04-17 11:36:13.931764+02:00,
1fc23e66-121e-450a-86ba-d109bc64b9bb,FouLoup411,0,2025-04-17 09:29:20.120754+02:00,2025-04-17 09:29:20.120754+02:00,
